# Engine name: 
# Sat May 25 10:25:08 2019
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.3500    800.0000      0.0000      1.0000    670.3782   3003.8188     17.7586      1.1913      1.1860   1798.8941    277.5234    302.0765      1.5549      1.6862      0.9584 
     2.4000    150.0000      0.0000      1.0000    674.1198   2969.7271     17.8486      1.1742      1.1630   1766.9332    221.9285    263.8450      1.2712      1.4956      0.9448 
     2.4000    160.0000      0.0000      1.0000    674.1198   2973.6232     17.8551      1.1747      1.1637   1768.5441    224.6932    265.6542      1.2854      1.5047      0.9453 
     2.4000    170.0000      0.0000      1.0000    674.1198   2977.2435     17.8611      1.1751      1.1644   1770.0490    227.2367    267.3312      1.2985      1.5131      0.9457 
     2.4000    180.0000      0.0000      1.0000    674.1198   2980.6214     17.8667      1.1756      1.1650   1771.4606    229.5917    268.8955      1.3106      1.5209      0.9462 
     2.4000    190.0000      0.0000      1.0000    674.1198   2983.7847     17.8719      1.1760      1.1656   1772.7895    231.7796    270.3575      1.3218      1.5282      0.9466 
     2.4000    200.0000      0.0000      1.0000    674.1198   2986.7568     17.8769      1.1764      1.1661   1774.0445    233.8198    271.7283      1.3322      1.5350      0.9470 
     2.4000    210.0000      0.0000      1.0000    674.1198   2989.5576     17.8815      1.1767      1.1667   1775.2332    235.7306    273.0189      1.3419      1.5414      0.9474 
     2.4000    220.0000      0.0000      1.0000    674.1198   2992.2041     17.8859      1.1771      1.1672   1776.3618    237.5262    274.2375      1.3511      1.5474      0.9478 
     2.4000    230.0000      0.0000      1.0000    674.1198   2994.7108     17.8901      1.1774      1.1677   1777.4361    239.2178    275.3906      1.3597      1.5531      0.9482 
     2.4000    240.0000      0.0000      1.0000    674.1198   2997.0906     17.8940      1.1778      1.1681   1778.4609    240.8163    276.4847      1.3678      1.5585      0.9485 
     2.4000    250.0000      0.0000      1.0000    674.1198   2999.3544     17.8978      1.1781      1.1686   1779.4403    242.3301    277.5247      1.3755      1.5636      0.9488 
     2.4000    260.0000      0.0000      1.0000    674.1198   3001.5121     17.9014      1.1784      1.1690   1780.3781    243.7681    278.5165      1.3827      1.5685      0.9491 
     2.4000    270.0000      0.0000      1.0000    674.1198   3003.5722     17.9048      1.1787      1.1694   1781.2776    245.1359    279.4629      1.3897      1.5731      0.9494 
     2.4000    280.0000      0.0000      1.0000    674.1198   3005.5424     17.9081      1.1790      1.1698   1782.1417    246.4395    280.3678      1.3962      1.5775      0.9497 
     2.4000    290.0000      0.0000      1.0000    674.1198   3007.4294     17.9112      1.1792      1.1702   1782.9729    247.6854    281.2355      1.4025      1.5818      0.9500 
     2.4000    300.0000      0.0000      1.0000    674.1198   3009.2394     17.9143      1.1795      1.1705   1783.7737    248.8772    282.0679      1.4085      1.5858      0.9503 
     2.4000    310.0000      0.0000      1.0000    674.1198   3010.9777     17.9171      1.1798      1.1709   1784.5460    250.0192    282.8678      1.4142      1.5897      0.9506 
